wellName,datasetName,DEPT,GR_NORM,ILD,NPHI_HC,PHIE_D,PHIT_D,RHOB_HC,VSH_FINAL,Core_facies1
,,ft,gAPI,ohm.m,frac,v/v,v/v,g/cm3,v/v,
ADSW-4ST3,ADSW-4ST3,6598,126.3501,1.06,0.4,0.04496421,0.1575757,2.39,0.7146501,-9999
ADSW-4ST3,ADSW-4ST3,6598.5,126.8573,1.21,0.4,0.04496421,0.1575757,2.39,0.7146501,-9999
ADSW-4ST3,ADSW-4ST3,6599,130.0627,1.29,0.38,0.05850268,0.1636363,2.38,0.6424835,-9999
ADSW-4ST3,ADSW-4ST3,6599.5,126.0052,1.24,0.38,0.06882592,0.1757576,2.36,0.6084044,-9999
ADSW-4ST3,ADSW-4ST3,6600,121.9578,1.22,0.4,0.06427412,0.1818182,2.35,0.6464924,-9999
ADSW-4ST3,ADSW-4ST3,6600.5,114.6746,1.22,0.43,0.05913123,0.1939394,2.33,0.6951047,-9999
ADSW-4ST3,ADSW-4ST3,6601,112.3314,1.22,0.44,0.05378556,0.1939394,2.33,0.7226683,-9999
ADSW-4ST3,ADSW-4ST3,6601.5,108.8826,1.15,0.43,0.0446033,0.1757576,2.36,0.7462227,-9999
ADSW-4ST3,ADSW-4ST3,6602,106.4481,1.11,0.42,0.04485122,0.169697,2.37,0.7356983,-9999
ADSW-4ST3,ADSW-4ST3,6602.5,107.8073,1.02,0.41,0.05429235,0.1757576,2.36,0.6910954,-9999
ADSW-4ST3,ADSW-4ST3,6603,111.1751,1,0.41,0.04952868,0.169697,2.37,0.7081347,-9999
ADSW-4ST3,ADSW-4ST3,6603.5,119.2292,1.04,0.41,0.05429235,0.1757576,2.36,0.6910954,-9999
ADSW-4ST3,ADSW-4ST3,6604,117.5656,1.04,0.41,0.04952868,0.169697,2.37,0.7081347,-9999
ADSW-4ST3,ADSW-4ST3,6604.5,113.9341,1.13,0.43,0.02112389,0.1393939,2.42,0.848459,-9999
ADSW-4ST3,ADSW-4ST3,6605,109.9781,1.1,0.45,0.01343949,0.1393939,2.42,0.9035862,-9999
ADSW-4ST3,ADSW-4ST3,6605.5,111.8141,0.96,0.44,0.02759078,0.1575757,2.39,0.8249046,-9999
ADSW-4ST3,ADSW-4ST3,6606,111.4794,1.01,0.44,0.04890342,0.1878788,2.34,0.7397076,-9999
ADSW-4ST3,ADSW-4ST3,6606.5,113.782,1.01,0.43,0.05913123,0.1939394,2.33,0.6951047,-9999
ADSW-4ST3,ADSW-4ST3,6607,113.6501,1,0.42,0.04485122,0.169697,2.37,0.7356983,-9999
